COMPONENT,Site Name,Joint Base,State Terr,COUNTRY,Oper Stat,PERIMETER,AREA,Shape_Leng,Shape_Area,latitude,longitude
MC Active,MCRD San Diego,N/A,California,United States,Active,4.14799628,0.66565193,8193.725244,2443594.223,32.74016895,-117.1976857
MC Active,Barry Goldwater Range,N/A,Arizona,United States,Active,162.2857547,1082.623808,319774.4074,3953111553,32.49827544,-114.0832228
Navy Active,NNSY South Gate,N/A,Virginia,United States,Active,1.50066793,0.14386155,3098.016391,582288.8948,36.80369889,-76.29542549
Navy Active,Fort Sheridan,N/A,Illinois,United States,Active,10.64368854,0.22329262,23820.29169,1054839.153,42.20961412,-87.80611796
Navy Active,Naval Station Great Lakes IL,N/A,Illinois,United States,Active,4.31223234,0.82607028,9627.960489,3915147.645,42.31344869,-87.8376315
Navy Active,NAS Kingsville TX,N/A,Texas,United States,Active,20.88058479,6.22223808,38537.79417,20561532.2,27.49896193,-97.81284771
AF Active,Davis Monthan AFB,N/A,Arizona,United States,Active,24.07198502,16.49827831,47009.12023,59798638.47,32.16080167,-110.8487224
AF Active,Fairchild AFB,N/A,Washington,United States,Active,14.39328688,6.61378044,35274.81004,37677886.77,47.61866263,-117.6483843
AF Active,North Air Force Auxiliary Field,Joint Base Charleston,South Carolina,United States,Active,12.85026608,3.507752,25573.42378,13130419.99,33.60253649,-81.078539
AF Active,Altus AFB,N/A,Oklahoma,United States,Active,14.6589949,6.39362365,29349.96727,24535958.71,34.66377247,-99.27455368
AF Guard,Channel Islands ANG Station,N/A,California,United States,Active,2.69661038,0.32236853,5310.292256,1221825.425,34.13879615,-119.1111036
AF Guard,Tucson IAP,N/A,Arizona,United States,Active,1.76995688,0.14661982,3458.93589,531091.16,32.13140405,-110.9492508
AF Guard,Barnes Map (ANG),N/A,Massachusetts,United States,Active,1.96591611,0.17294544,4369.414084,815965.6488,42.16936536,-72.71799618
AF Active,Kelly Field Annex,Joint Base San Antonio,Texas,United States,Active,11.04816092,3.3418365,20824.79189,11438741.65,29.38037374,-98.58600528
Army Guard,NG Camp Minden Training Site,N/A,Louisiana,United States,Active,23.49265426,23.44438486,46610.777,85719457.6,32.55892028,-93.39405347
Army Guard,NG Camp Bowie (State),N/A,Texas,United States,Active,14.55608093,7.94648759,28143.62443,28481653.12,31.63985537,-98.93548298
Army Guard,NG Cumming,N/A,Georgia,United States,Active,0.56614173,0.02044719,1127.845331,77653.87594,34.22433404,-84.11305159
Army Guard,NG WH Ford Regional Tng Ctr,N/A,Kentucky,United States,Active,56.82636697,17.56594333,119108.2664,71984930.24,37.27766328,-87.20104205
Navy Active,Target B-20,N/A,Nevada,United States,Active,31.23794144,64.2574269,67589.17257,282987615.4,39.88428939,-118.3628065
Navy Active,Fleming Key Magazine,N/A,Florida,United States,Active,4.6746964,0.46775883,8345.227146,1471399.321,24.57891989,-81.79673153
Navy Active,Truman Annex,N/A,Florida,United States,Active,2.29095564,0.15867621,4110.14185,498883.0816,24.54654081,-81.8046496
Navy Active,NMIC Suitland,N/A,Maryland,United States,Active,1.02296522,0.06409388,2189.334888,274084.6977,38.84884485,-76.93669215
Navy Active,Camp Michael Monsoor,N/A,California,United States,Active,17.73352767,5.29707288,34715.89507,19416905.29,32.67370078,-116.4437169
Navy Active,NAVPMOSSP Magna Utah,N/A,Utah,United States,Active,4.89750324,0.82999865,10868.37934,3741488.591,40.6783887,-112.0733043
Navy Active,Tumon,Joint Region Marianas,Guam,Guam,Active,0.92803256,0.01730826,1507.235756,47700.63198,13.50972979,144.8099447
Navy Active,Kalaeloa,Joint Base Pearl Harbor - Hickam,Hawaii,United States,Active,21.17704217,1.37444143,36802.69613,4122403.813,21.32051768,-158.0574717
Navy Active,Keyport NUWC,N/A,Washington,United States,Active,3.00972306,0.47731311,7356.340864,2727362.824,47.69744122,-122.6212475
Army Active,Sierra Army Depot,N/A,California,United States,Active,29.86914818,46.7340317,64498.25579,207769875.9,40.20902947,-120.1291032
Army Active,Blue Grass Army Depot,N/A,Kentucky,United States,Active,20.43117434,22.7775644,42748.40383,94391851.77,37.69895426,-84.21745462
