Date of Flare,Date of Sighting,Flare occur on date of sighting ,,,,,,
19-Apr-12,06-Jan-10,No,,,,,,
22-Apr-12,07-Jan-10,No,,,,,,
23-Apr-12,08-Jan-10,No,,,,,,
24-Apr-12,09-Jan-10,No,,,,,,
27-Apr-12,10-Jan-10,No,,,,,,
28-Apr-12,11-Jan-10,No,,,,,,
29-Apr-12,12-Jan-10,No,,,,,,
30-Apr-12,01-Feb-10,No,,,,,,
1-May-12,02-Feb-10,No,,,,,,
2-May-12,03-Feb-10,No,,,,,,
3-May-12,04-Feb-10,No,,,,,,
4-May-12,05-Feb-10,No,,,,,,
5-May-12,06-Feb-10,Yes,,,,,,
6-May-12,07-Feb-10,Yes,,,,,,
7-May-12,08-Feb-10,Yes,,,,,,
8-May-12,09-Feb-10,Yes,,,,,,
9-May-12,10-Feb-10,Yes,,,,,,
10-May-12,11-Feb-10,No,,,,,,
11-May-12,12-Feb-10,Yes,,,,,,
12-May-12,01-Mar-10,No,,,,,,
13-May-12,02-Mar-10,No,,,,,,
14-May-12,03-Mar-10,No,,,,,,
15-May-12,04-Mar-10,No,,,,,,
16-May-12,05-Mar-10,No,,,,,,
17-May-12,06-Mar-10,No,,,,,,
24-May-12,07-Mar-10,No,,,,,,
25-May-12,08-Mar-10,No,,,,,,
26-May-12,09-Mar-10,No,,,,,,
31-May-12,10-Mar-10,No,,,,,,
1-Jun-12,11-Mar-10,No,,,,,,
2-Jun-12,12-Mar-10,No,,,,,,
3-Jun-12,01-Apr-10,No,,,,,,
5-Jun-12,02-Apr-10,No,,,,,,
6-Jun-12,03-Apr-10,No,,,,,,
7-Jun-12,04-Apr-10,No,,,,,,
8-Jun-12,05-Apr-10,No,,,,,,
9-Jun-12,06-Apr-10,No,,,,,,
10-Jun-12,07-Apr-10,No,,,,,,
12-Jun-12,08-Apr-10,No,,,,,,
13-Jun-12,09-Apr-10,No,,,,,,
14-Jun-12,10-Apr-10,No,,,,,,
16-Jun-12,11-Apr-10,No,,,,,,
17-Jun-12,12-Apr-10,No,,,,,,
18-Jun-12,01-May-10,Yes,,,,,,
20-Jun-12,02-May-10,No,,,,,,
27-Jun-12,03-May-10,No,,,,,,
28-Jun-12,04-May-10,No,,,,,,
29-Jun-12,05-May-10,Yes,,,,,,
30-Jun-12,06-May-10,No,,,,,,
1-Jul-12,07-May-10,Yes,,,,,,
